,CityId,Latitude,Longitude,PopLog,CityName
262,14748,47.3703721,20.6310453,3.874076,Kunhegyes
263,14749,47.8667937,19.0089279,3.257439,Szokolya
264,14750,47.6913589,21.9053502,3.891983,Nyiradony
265,14751,45.8331834,17.3853058,3.573452,Veroce
266,14752,47.6946536,18.717583800000003,3.512284,Csolnok
267,14753,46.524022,20.186003,3.825101,Mindszent
268,14754,47.28444260000001,20.0702678,3.803457,Ujszasz
269,14755,46.9256917,16.9685234,2.994757,Pokaszepetk
270,14756,47.3616376,19.8489595,3.558829,Farmos
271,14757,47.0313464,20.9620971,3.882069,Devavanya
272,14758,47.5692314,19.7168149,3.749814,Jaszfenyszaru
273,14759,47.2419579,18.59782,3.11227,Sukoro
274,14760,48.293613,20.7340134,4.000824,Edeleny
275,14761,46.8800183,17.945992800000006,3.373464,Zamardi
276,14942,47.5912451,18.759802,3.350054,Perbal
277,14943,47.6133844,17.636573300000006,3.794697,Gyorujbarat
278,15142,46.4704606,19.9812009,3.846337,Kistelek
279,15143,47.8265758,19.0126276,3.33264,Kismaros
280,15144,46.9803541,20.254116600000003,4.046105000000001,Tiszafoldvar
281,15145,47.7264305,18.262513,3.33726,Almasfuzito
282,15146,46.2858683,21.0218929,3.745465,Battonya
283,15147,48.2942607,20.4342869,3.821775,Putnok
284,15342,47.9395202,19.0437008,3.444669,Diosjeno
285,15343,46.3657365,20.1042174,3.900531,Sandorfalva
286,15344,46.4073383,20.923600600000004,3.781684,Mezokovacshaza
287,15542,47.7231661,18.6588221,3.624798,Tokod
288,15544,47.0490649,16.7998821,3.615634,Vasvar
289,15545,47.2607788,19.3288579,3.646306,Inarcs
290,15546,47.8157169,21.500684600000003,3.948804,Hajdudorog
291,15742,46.3982552,19.117199,3.496099,Hajos
292,15942,47.1599702,18.1209474,3.673666,Petfurdo
293,15943,47.642224,17.978746700000002,3.562768,Babolna
294,15944,47.8707939,21.1141032,3.898451,Polgar
295,15945,47.3833959,16.753304999999997,3.543199,Buk
